batch,n_tokens,loss_L0_age_bin,train_acc_L0_age_bin,loss_L0_gender,train_acc_L0_gender,loss_L0_star_sign,train_acc_L0_star_sign,loss_L6_age_bin,train_acc_L6_age_bin,loss_L6_gender,train_acc_L6_gender,loss_L6_star_sign,train_acc_L6_star_sign,loss_L12_age_bin,train_acc_L12_age_bin,loss_L12_gender,train_acc_L12_gender,loss_L12_star_sign,train_acc_L12_star_sign,loss_L18_age_bin,train_acc_L18_age_bin,loss_L18_gender,train_acc_L18_gender,loss_L18_star_sign,train_acc_L18_star_sign,loss_L24_age_bin,train_acc_L24_age_bin,loss_L24_gender,train_acc_L24_gender,loss_L24_star_sign,train_acc_L24_star_sign
359,2400,1.14696,0.35789,0.73281,0.51353,2.76922,0.0872,1.02027,0.41131,0.68397,0.55094,2.73064,0.08417,1.03819,0.40103,0.68865,0.54238,2.75937,0.08517,1.01603,0.44307,0.65287,0.56256,2.7824,0.08841,1.03275,0.45691,0.62147,0.58464,2.74535,0.09301
360,2400,1.15194,0.35794,0.73408,0.51351,2.76043,0.0872,1.00012,0.41156,0.72227,0.55095,2.74629,0.08419,1.05548,0.40115,0.71825,0.54239,2.78799,0.08517,0.98596,0.44322,0.70092,0.56265,2.76515,0.08845,0.93788,0.45716,0.68097,0.58472,2.7707,0.09302
361,2400,1.15357,0.35798,0.73675,0.51352,2.77583,0.08722,1.01828,0.41171,0.68968,0.55102,2.77651,0.08419,1.08947,0.40115,0.69166,0.5425,2.82113,0.08515,1.00495,0.44333,0.64721,0.56281,2.84127,0.08843,0.97983,0.45732,0.64051,0.58486,2.72568,0.09305
362,2400,1.13303,0.35809,0.7264,0.51352,2.80245,0.08722,1.03115,0.41187,0.64557,0.55124,2.86149,0.08417,1.07178,0.40122,0.66033,0.54271,2.81391,0.08516,0.99632,0.44347,0.65547,0.56296,2.81706,0.08841,1.01635,0.45736,0.63721,0.585,2.86372,0.09299
363,2400,1.14965,0.35813,0.72861,0.51351,2.76387,0.0872,0.97648,0.41211,0.66238,0.55143,2.7568,0.08418,0.97981,0.4015,0.67294,0.54288,2.75067,0.08519,0.89571,0.44378,0.62718,0.5632,2.88643,0.08837,0.89668,0.45762,0.63595,0.5852,2.84274,0.09296
364,2400,1.15626,0.35822,0.73429,0.51355,2.7853,0.08724,1.03365,0.4122,0.73558,0.5514,2.72302,0.08422,1.04722,0.40159,0.73612,0.54288,2.75261,0.08524,0.99429,0.4439,0.74434,0.56318,2.77448,0.08842,0.98299,0.45775,0.76517,0.58516,2.71507,0.09301
365,2400,1.17156,0.35824,0.72057,0.5136,2.76645,0.08724,1.02897,0.41236,0.72506,0.55137,2.8394,0.0842,1.09752,0.40161,0.70007,0.54293,2.81038,0.0852,1.00492,0.44402,0.70171,0.56322,2.81932,0.08844,1.04708,0.45779,0.66785,0.58524,2.84865,0.09298
366,2400,1.15183,0.35824,0.72341,0.51368,2.78587,0.08725,1.04398,0.41253,0.67948,0.5515,2.80841,0.08421,1.06358,0.40175,0.66692,0.54311,2.79042,0.08521,1.01508,0.44418,0.68119,0.56335,2.76196,0.08849,1.06195,0.45785,0.65724,0.58533,2.86919,0.09296
367,2400,1.17315,0.35827,0.74026,0.51361,2.77339,0.08728,1.07987,0.41266,0.6963,0.55156,2.83601,0.08419,1.11072,0.40186,0.72215,0.54311,2.83387,0.08518,1.03544,0.44435,0.68052,0.56346,2.8881,0.08847,0.98408,0.45805,0.7112,0.58533,2.7595,0.09299
368,2400,1.13378,0.35837,0.72879,0.5136,2.77165,0.0873,0.99595,0.41289,0.69515,0.55162,2.73567,0.08421,1.02737,0.40204,0.69729,0.54318,2.76389,0.08522,0.92991,0.44461,0.68895,0.56354,2.80732,0.08848,0.9429,0.45825,0.68372,0.58539,2.74997,0.09305
369,2400,1.1727,0.35839,0.72805,0.5136,2.76413,0.08734,1.00321,0.4131,0.70369,0.55164,2.75375,0.08425,1.03485,0.40218,0.7011,0.54322,2.76922,0.08522,0.97682,0.44477,0.69698,0.5636,2.83332,0.08848,0.92676,0.45851,0.69482,0.58542,2.79699,0.09308
370,2400,1.14859,0.35848,0.72687,0.51356,2.75658,0.08733,1.08039,0.41319,0.70455,0.5517,2.80451,0.08427,1.0699,0.40232,0.70037,0.54327,2.7944,0.08524,1.05278,0.44487,0.66975,0.56372,2.85216,0.08849,1.01585,0.45863,0.71056,0.58543,2.85504,0.09307
371,2400,1.17649,0.35851,0.74108,0.51356,2.76988,0.08734,1.13713,0.41315,0.73259,0.5517,2.76276,0.08431,1.14113,0.40231,0.73636,0.54321,2.77822,0.08528,1.14157,0.4448,0.73283,0.56367,2.72176,0.08856,1.17176,0.45853,0.72731,0.58536,2.73338,0.09316
372,2400,1.15045,0.35855,0.74599,0.51349,2.76357,0.08739,1.05658,0.4132,0.71814,0.5517,2.75966,0.08434,1.07136,0.40241,0.73489,0.54317,2.78157,0.08527,1.00155,0.44493,0.74725,0.56358,2.7497,0.08861,1.03604,0.45858,0.74917,0.58525,2.66472,0.09326
373,2400,1.14199,0.35864,0.7477,0.51343,2.76411,0.08737,1.08265,0.41326,0.72699,0.55167,2.75089,0.08437,1.10638,0.40243,0.73656,0.54312,2.79538,0.08529,1.10089,0.44498,0.71359,0.5636,2.82296,0.08861,1.0997,0.45855,0.71654,0.58519,2.73499,0.09327
374,2400,1.1774,0.35867,0.73327,0.5134,2.75449,0.08737,1.05335,0.41335,0.68465,0.55174,2.7658,0.08439,1.09022,0.40247,0.69336,0.54319,2.7912,0.08528,1.09274,0.44492,0.66992,0.5637,2.77833,0.08866,1.06321,0.45858,0.63397,0.5853,2.84682,0.09325
375,2400,1.16616,0.35862,0.73302,0.51347,2.73396,0.08742,1.01655,0.41351,0.69343,0.55184,2.76151,0.08441,1.02747,0.40259,0.6984,0.54329,2.79295,0.08527,0.98408,0.44507,0.69941,0.56375,2.76249,0.08868,0.98116,0.45869,0.72437,0.58532,2.74527,0.09328
376,2400,1.12031,0.35879,0.73251,0.51347,2.75193,0.08746,1.02832,0.41365,0.73401,0.5518,2.76511,0.08443,1.07564,0.40263,0.73045,0.54328,2.81701,0.08527,0.98857,0.44518,0.72304,0.5637,2.7966,0.08873,0.97385,0.4588,0.71507,0.58528,2.82926,0.09326
377,2400,1.13362,0.35884,0.74106,0.51347,2.77422,0.08746,0.98883,0.41388,0.63428,0.55203,2.7691,0.08449,1.00268,0.40283,0.68416,0.5434,2.78311,0.08529,0.95895,0.44537,0.60372,0.56397,2.76703,0.08877,1.00356,0.45895,0.60889,0.58549,2.80574,0.09327
