batch,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L4_age_bin,loss_L4_gender,loss_L4_star_sign,loss_L8_age_bin,loss_L8_gender,loss_L8_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L16_age_bin,loss_L16_gender,loss_L16_star_sign,loss_L20_age_bin,loss_L20_gender,loss_L20_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign
186,1.07726,0.68536,2.4623,0.9377,0.66997,2.43038,0.89756,0.56459,2.41554,0.87217,0.68567,2.56932,1.06444,0.5477,2.4194,0.87371,0.54926,2.47648,1.06618,0.77038,2.93566
187,1.07713,0.68809,2.4773,0.84957,0.68628,2.44153,0.81174,0.60455,2.41977,0.82104,0.67788,2.60797,1.09478,0.63567,2.4029,0.77751,0.61958,2.4707,0.87471,0.82156,2.78471
188,1.05936,0.68408,2.48485,0.92375,0.68793,2.4662,0.92478,0.55728,2.4231,0.87519,0.67089,2.60563,1.07141,0.55279,2.42865,0.81662,0.55522,2.46879,1.05529,0.65362,2.79552
189,1.06235,0.68746,2.45165,0.83884,0.6727,2.40496,0.80811,0.58867,2.36774,0.80203,0.67428,2.54789,1.0761,0.58297,2.36792,0.74592,0.58734,2.41153,0.96041,0.7356,2.9362
190,1.04431,0.69037,2.45302,0.85836,0.68432,2.42255,0.8304,0.62947,2.39964,0.81222,0.68972,2.60287,1.06151,0.62957,2.40145,0.76321,0.62735,2.42812,0.97208,0.75058,2.95567
191,1.06518,0.69111,2.45493,0.90938,0.71136,2.39556,0.81893,0.57101,2.40102,0.81611,0.68183,2.52406,1.06737,0.56951,2.40227,0.74701,0.55974,2.41051,0.96663,0.74957,2.92623
192,1.04943,0.68487,2.44816,0.84821,0.68458,2.38816,0.84986,0.58534,2.38376,0.83143,0.68323,2.5371,1.06249,0.57373,2.37281,0.79973,0.57648,2.39359,0.95865,0.61368,2.61202
193,1.08517,0.68451,2.48212,0.9569,0.68371,2.46067,0.96571,0.64698,2.4496,0.95325,0.67004,2.82595,1.07026,0.65392,2.41713,0.89545,0.62652,2.55056,1.25096,0.84431,3.03076
194,1.0656,0.68574,2.47457,0.88107,0.68685,2.45447,0.85661,0.56716,2.45783,0.84687,0.68256,2.73773,1.05823,0.53466,2.44323,0.74813,0.52972,2.50408,0.8969,0.767,2.88844
195,1.08165,0.6916,2.47493,0.82874,0.67889,2.44775,0.77958,0.56953,2.42945,0.78997,0.6706,2.49645,1.05789,0.57469,2.43383,0.72918,0.57025,2.49029,0.77518,0.70471,2.92496
196,1.07829,0.68412,2.48587,0.80358,0.66755,2.44852,0.80183,0.59106,2.45244,0.76952,0.67874,2.57269,1.07709,0.57107,2.45815,0.66787,0.56685,2.51038,0.76761,0.70656,2.77149
197,1.08058,0.68963,2.48571,0.87985,0.68798,2.468,0.81086,0.63009,2.45364,0.83538,0.67902,2.73728,1.07583,0.60299,2.46324,0.76763,0.62191,2.50507,0.98478,0.79025,2.92039
198,1.09298,0.68774,2.47457,1.00146,0.69598,2.41743,0.93945,0.58046,2.41899,0.90726,0.69321,2.82209,1.08626,0.59503,2.39632,0.81583,0.60373,2.50271,1.08645,0.74414,3.14345
199,1.07346,0.68054,2.44231,0.88498,0.68357,2.46092,0.86737,0.56155,2.43857,0.8574,0.68735,2.66901,1.06801,0.55153,2.42142,0.79395,0.57732,2.47378,0.86084,0.65296,3.21214
200,1.07627,0.68531,2.49125,0.92037,0.67403,2.46471,0.84522,0.6044,2.45653,0.86158,0.68641,2.53482,1.05755,0.58403,2.459,0.80636,0.62209,2.49742,0.8486,0.75866,2.80025
201,1.10267,0.68583,2.49199,0.97577,0.70821,2.44257,0.89933,0.61984,2.43787,0.88625,0.68489,2.59732,1.0685,0.59632,2.40447,0.78834,0.60468,2.46352,0.97279,0.68682,2.99463
202,1.07755,0.68541,2.44206,0.91337,0.68429,2.42895,0.86,0.60785,2.41859,0.8864,0.68211,2.5181,1.07553,0.58688,2.38645,0.82764,0.63575,2.40615,1.0075,0.81068,2.82999
203,1.08046,0.67854,2.49573,0.95156,0.67536,2.46267,0.96653,0.56386,2.45721,0.96143,0.6798,2.7984,1.07881,0.55163,2.46744,0.90656,0.55138,2.50351,1.02606,0.62241,3.01409
204,1.08283,0.68333,2.48618,0.85639,0.69541,2.46284,0.84974,0.53695,2.42876,0.83407,0.67705,2.61558,1.07373,0.5043,2.45312,0.79447,0.54203,2.49225,0.91791,0.58696,2.91027
205,1.08093,0.68216,2.48273,0.93197,0.67533,2.43314,0.88654,0.55051,2.39993,0.8613,0.66742,2.53987,1.08007,0.54259,2.39898,0.81253,0.52694,2.46491,0.94738,0.57945,2.75863
206,1.08941,0.68363,2.48061,0.96281,0.70778,2.47176,0.89215,0.59612,2.47857,0.89181,0.68462,2.70111,1.07888,0.61365,2.47178,0.82708,0.60346,2.49092,0.96558,0.81699,2.96123
207,1.03798,0.68357,2.44363,0.87643,0.69183,2.42701,0.85707,0.5574,2.39954,0.83046,0.66685,2.75375,1.03879,0.5838,2.40439,0.7645,0.56694,2.47024,0.96501,0.68141,2.9029
208,1.07018,0.68335,2.45652,0.88554,0.69283,2.39789,0.85419,0.5864,2.36873,0.81636,0.66886,2.64095,1.0549,0.59155,2.36748,0.81713,0.58909,2.421,1.03227,0.70495,2.91146
209,1.07094,0.68278,2.49504,0.90023,0.67486,2.45769,0.88509,0.57871,2.4367,0.84378,0.67769,2.57281,1.06851,0.56388,2.38938,0.79552,0.54639,2.48192,1.16447,0.59803,2.96463
210,1.04778,0.68708,2.45352,0.93629,0.67852,2.43534,0.92655,0.60271,2.41476,0.89166,0.68291,2.52655,1.0428,0.61037,2.4095,0.80754,0.59251,2.48629,0.98399,0.70544,3.06481
211,1.05095,0.68225,2.50222,0.89535,0.66764,2.47497,0.83878,0.58756,2.4593,0.82364,0.68373,2.66405,1.01903,0.59171,2.44138,0.78433,0.6017,2.51233,0.95457,0.78142,3.11386
212,1.07003,0.68251,2.48189,0.82619,0.69273,2.45602,0.80849,0.54451,2.42815,0.77285,0.68382,2.79753,1.04534,0.53836,2.42751,0.72929,0.5191,2.48793,0.88088,0.57692,2.99598
213,1.06421,0.68365,2.45568,0.9114,0.68099,2.40907,0.87633,0.52875,2.39895,0.87396,0.67651,2.53052,1.06204,0.5138,2.4055,0.85987,0.48783,2.45052,0.90328,0.62245,2.94898
214,1.08025,0.6814,2.48809,0.85533,0.66663,2.45409,0.82718,0.60442,2.45392,0.79604,0.69019,2.53238,1.06628,0.5768,2.44549,0.76756,0.57278,2.44202,0.79299,0.77265,2.95287
215,1.07624,0.67706,2.47637,0.94112,0.66316,2.47898,0.8947,0.57653,2.47071,0.88938,0.67745,2.55107,1.06201,0.54805,2.47424,0.89296,0.57537,2.52328,0.99359,0.70965,2.99962
216,1.06858,0.68912,2.48549,0.94966,0.68638,2.46488,0.88324,0.64347,2.45475,0.88759,0.67976,2.59361,1.07097,0.65973,2.47786,0.83424,0.68879,2.49575,0.91974,0.85117,3.04588
217,1.08119,0.69039,2.47849,0.88152,0.67239,2.41384,0.87549,0.63721,2.39936,0.84615,0.67554,2.79972,1.07325,0.64872,2.37742,0.81525,0.62932,2.38233,0.84864,0.80226,2.9504
218,1.10583,0.67934,2.46879,0.92,0.67696,2.43504,0.85982,0.56622,2.41734,0.86228,0.67528,2.64287,1.09227,0.55778,2.42965,0.77906,0.56613,2.47987,0.87983,0.74584,2.95427
219,1.06259,0.67863,2.47619,0.87229,0.67739,2.42392,0.82534,0.57569,2.40366,0.80886,0.67433,2.50104,1.06214,0.58066,2.38045,0.727,0.55031,2.45546,0.91096,0.6861,2.70229
220,1.05432,0.68669,2.45418,0.89828,0.6874,2.42605,0.828,0.59812,2.41811,0.84214,0.67989,2.60715,1.05397,0.59976,2.3929,0.76174,0.59667,2.47059,0.90352,0.81632,3.02734
221,1.07204,0.68816,2.49995,0.92619,0.69581,2.42215,0.90644,0.5369,2.41839,0.90113,0.6824,2.71544,1.03808,0.55898,2.38788,0.84628,0.54547,2.4616,0.97695,0.88262,2.97501
222,1.07798,0.69259,2.42523,0.9174,0.69273,2.36933,0.8364,0.65102,2.37063,0.85494,0.68158,2.45871,1.05962,0.67573,2.38735,0.75537,0.66527,2.44817,0.90422,0.74045,2.78011
223,1.07442,0.68976,2.48916,0.83825,0.69581,2.4284,0.75493,0.62792,2.40639,0.78897,0.68842,2.60658,1.04666,0.60731,2.39611,0.72792,0.60156,2.48079,0.82904,0.77699,2.84084
224,1.0715,0.68527,2.476,0.85567,0.68119,2.42359,0.8316,0.63023,2.43106,0.8391,0.65695,2.53938,1.04432,0.6526,2.4244,0.76888,0.6645,2.50008,0.90847,0.94876,3.01006
225,1.06577,0.6884,2.49653,0.89289,0.70003,2.47727,0.87161,0.6053,2.44881,0.87044,0.69178,2.66537,1.03249,0.59286,2.42742,0.80087,0.56839,2.4683,0.99131,0.82472,3.04567
226,1.07301,0.68191,2.45877,0.87821,0.70518,2.39139,0.85195,0.5552,2.3878,0.8185,0.67609,2.56885,1.05517,0.59077,2.37062,0.82726,0.57184,2.44925,0.96598,0.67085,2.89897
227,1.08218,0.68598,2.46624,0.85911,0.67419,2.43096,0.8656,0.56944,2.41664,0.84341,0.6633,2.63687,1.06569,0.5296,2.37563,0.8065,0.52009,2.41278,1.00411,0.75803,2.8725
228,1.07279,0.68502,2.46645,0.94049,0.69554,2.4418,0.89271,0.61903,2.43053,0.86327,0.68543,2.68252,1.04264,0.59936,2.39307,0.82268,0.63712,2.49639,0.93924,0.99385,2.84508
229,1.03267,0.68195,2.45086,0.90704,0.68583,2.40077,0.88206,0.58408,2.39212,0.85707,0.67127,2.55927,1.03032,0.57327,2.37305,0.78954,0.57975,2.45028,0.88717,0.78094,2.94055
230,1.07736,0.67921,2.46478,0.9055,0.67152,2.41498,0.8829,0.53027,2.40381,0.80446,0.65588,2.57893,1.05036,0.53909,2.40057,0.78471,0.54776,2.4105,0.87011,0.68841,3.01567
