batch,loss_L0_age_bin,loss_L0_gender,loss_L0_star_sign,loss_L4_age_bin,loss_L4_gender,loss_L4_star_sign,loss_L8_age_bin,loss_L8_gender,loss_L8_star_sign,loss_L12_age_bin,loss_L12_gender,loss_L12_star_sign,loss_L16_age_bin,loss_L16_gender,loss_L16_star_sign,loss_L20_age_bin,loss_L20_gender,loss_L20_star_sign,loss_L24_age_bin,loss_L24_gender,loss_L24_star_sign,loss_L28_age_bin,loss_L28_gender,loss_L28_star_sign
681,0.98161,0.64401,2.44928,0.90859,0.63508,2.26013,7.74902,2.88842,2.28875,0.91188,0.51981,2.26721,0.94402,0.51522,2.22868,0.66361,0.50753,24.56571,0.6279,0.59703,2.53091,0.61194,0.5739,2.47736
682,1.00365,0.65983,2.4517,0.94419,0.6276,2.31949,11.57225,9.84367,2.27107,0.89653,0.56392,2.29115,0.91139,0.55991,2.34308,0.68458,0.57277,29.0106,0.72234,0.63537,2.54487,0.64206,0.59095,2.40953
683,0.95823,0.65727,2.4601,0.91476,0.62245,2.29592,9.21282,9.98291,2.34674,0.89663,0.61618,2.35345,0.89331,0.61391,2.42337,0.56486,0.63158,31.16524,0.63457,0.68497,2.66573,0.56672,0.69306,2.46652
684,0.92766,0.66143,2.49382,0.91091,0.63108,2.25964,5.98194,1.15799,2.23739,0.9265,0.54593,2.15837,0.9198,0.52718,2.26177,0.69604,0.57115,27.96785,0.71478,0.59919,2.62509,0.73503,0.56012,2.50953
685,0.9855,0.64829,2.4969,0.95952,0.62268,2.34042,8.96691,10.85522,2.26855,0.94464,0.46822,2.28918,0.96348,0.44826,2.37565,0.80321,0.47658,15.13253,0.77465,0.54003,2.64074,0.80492,0.55282,2.50337
686,1.04751,0.64145,2.45771,0.97796,0.64193,2.33941,9.98975,14.65208,2.29268,0.95712,0.55709,2.33751,0.92248,0.60256,2.38492,0.69759,0.54416,26.18114,0.71974,0.6395,2.62527,0.72721,0.62907,2.41397
687,0.9394,0.6563,2.46061,0.9483,0.62391,2.27275,4.22014,8.91567,2.28681,0.87951,0.54453,2.31153,0.86267,0.56524,2.32062,0.68766,0.53775,27.45956,0.76673,0.60316,2.55191,0.66582,0.56463,2.38188
688,0.95449,0.64821,2.46156,0.94458,0.62113,2.27492,5.35987,5.16277,2.2787,0.91493,0.49757,2.36045,0.92854,0.46688,2.36757,0.6389,0.50097,27.35266,0.77179,0.61773,2.65257,0.70002,0.55051,2.44307
689,0.90087,0.64269,2.43355,0.93633,0.61643,2.24824,4.54877,11.31421,2.1943,0.88336,0.43506,2.2437,0.90596,0.45,2.22731,0.69041,0.46053,22.50649,0.72643,0.49224,2.52148,0.76124,0.53694,2.33129
690,1.03215,0.6897,2.46693,0.96265,0.63324,2.21666,7.78736,11.94739,2.25142,0.9375,0.53118,2.24738,0.93481,0.56932,2.20927,0.74383,0.54281,27.16867,0.8636,0.60238,2.5216,0.87551,0.68715,2.43586
691,1.00269,0.6515,2.4604,0.9058,0.59342,2.42127,4.99107,3.19353,2.36595,0.90839,0.45295,2.36834,0.90701,0.48074,2.42185,0.64208,0.42828,34.12321,0.70669,0.57529,2.68669,0.64717,0.45169,2.49399
692,0.96841,0.68267,2.46622,0.91556,0.66779,2.20359,2.20619,9.84681,2.23064,0.88612,0.51719,2.26603,0.85544,0.55188,2.33265,0.61178,0.5253,28.79218,0.6891,0.70688,2.49556,0.62886,0.57615,2.31843
