batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
228,1.20246,0.3543,0.77036,0.51162,2.83194,0.08473,1.16689,0.36458,0.77514,0.51879,2.89621,0.08353,1.09491,0.38745,0.75066,0.53445,2.87765,0.08349,1.11173,0.38443,0.75972,0.53886,2.90577,0.08386,1.03475,0.4139,0.76664,0.5499,2.91117,0.08459,0.98577,0.43791,0.75779,0.55566,2.89168,0.08564,0.97941,0.45208,0.76311,0.58333,2.85624,0.08697
229,1.18624,0.35439,0.76565,0.5116,2.82466,0.08478,1.15741,0.36471,0.76579,0.51879,2.89136,0.08355,1.11749,0.38762,0.74913,0.53447,2.87557,0.08351,1.12294,0.38459,0.75107,0.53885,2.91443,0.08388,1.04676,0.41413,0.74554,0.54989,2.88828,0.08459,1.02493,0.43811,0.714,0.55576,2.88562,0.08569,1.01672,0.45229,0.76348,0.58321,2.87376,0.08701
230,1.20945,0.35442,0.76111,0.51159,2.84691,0.08477,1.19362,0.36476,0.73872,0.51891,2.92644,0.08353,1.14127,0.38772,0.73124,0.53452,2.889,0.08351,1.14811,0.3847,0.71308,0.53895,2.93133,0.08387,1.12218,0.4142,0.70101,0.55003,2.90152,0.08461,1.07529,0.4383,0.68663,0.5559,2.90813,0.0857,1.1096,0.45231,0.70286,0.58325,2.80237,0.0871
231,1.19968,0.35449,0.76249,0.51161,2.8384,0.08477,1.17746,0.36485,0.72578,0.51905,2.90933,0.08353,1.10599,0.38788,0.69676,0.53471,2.90733,0.0835,1.13671,0.38481,0.70845,0.5391,2.90312,0.08389,1.06699,0.41437,0.69446,0.55022,2.9022,0.08463,1.08652,0.43832,0.64855,0.55623,2.91767,0.08571,1.04916,0.45245,0.66128,0.58345,2.96757,0.08705
232,1.18827,0.35457,0.75352,0.51163,2.83403,0.08478,1.15218,0.36499,0.73654,0.51918,2.90401,0.08354,1.09096,0.38809,0.69407,0.53495,2.86741,0.08351,1.11048,0.38499,0.68917,0.53934,2.88201,0.0839,1.04895,0.41461,0.71227,0.55037,2.87804,0.08465,1.00985,0.43858,0.66643,0.5565,2.93078,0.08571,0.95864,0.45279,0.65638,0.5837,2.89527,0.08709
233,1.21814,0.35453,0.75907,0.51171,2.83388,0.08477,1.17651,0.3651,0.73166,0.51933,2.90671,0.08355,1.10785,0.38828,0.72546,0.53507,2.88178,0.08351,1.11692,0.38518,0.70989,0.53948,2.87159,0.08394,1.04445,0.41486,0.69196,0.55055,2.88478,0.08466,0.99277,0.4389,0.66062,0.55681,2.89134,0.08572,1.00631,0.45303,0.66196,0.5839,2.84546,0.08712
234,1.19329,0.35462,0.76094,0.51172,2.82577,0.08479,1.16959,0.3652,0.76169,0.51935,2.91797,0.08353,1.10759,0.38847,0.73379,0.53515,2.89151,0.08352,1.11199,0.38538,0.72715,0.53958,2.88938,0.08395,1.05744,0.4151,0.70854,0.55067,2.91033,0.08465,1.0299,0.43912,0.70535,0.55692,2.91517,0.08572,1.05189,0.45317,0.67262,0.58408,2.87398,0.08711
235,1.21636,0.35461,0.7645,0.51172,2.82656,0.08481,1.1907,0.36524,0.76587,0.51936,2.89713,0.08354,1.12525,0.38859,0.75085,0.53519,2.89578,0.08352,1.14071,0.38549,0.7539,0.53959,2.87222,0.08398,1.10316,0.41523,0.7516,0.5507,2.90646,0.08466,1.04946,0.43932,0.72865,0.55701,2.93634,0.08572,1.03702,0.45337,0.74418,0.5841,2.83427,0.08717
236,1.16928,0.35474,0.76561,0.51173,2.82037,0.08483,1.14753,0.36535,0.75083,0.51942,2.92684,0.08354,1.06836,0.38884,0.71976,0.53533,2.89024,0.08351,1.08378,0.38572,0.71213,0.53974,2.89898,0.08397,1.03419,0.41546,0.70672,0.55086,2.95931,0.08465,1.0229,0.43948,0.70238,0.55719,2.92023,0.08573,0.99161,0.4536,0.72223,0.58418,2.82433,0.08725
237,1.17532,0.35488,0.74943,0.51182,2.82714,0.08484,1.14716,0.36547,0.72492,0.51957,2.89798,0.08355,1.11199,0.38895,0.67224,0.53562,2.86356,0.08353,1.10011,0.38586,0.66243,0.54004,2.89542,0.08398,1.06911,0.41559,0.64311,0.55119,2.89411,0.08466,1.02369,0.43961,0.64388,0.5575,2.93406,0.08572,1.00825,0.45376,0.63289,0.58445,2.85272,0.08729
238,1.20225,0.35492,0.75385,0.51186,2.83401,0.08483,1.15528,0.36563,0.72319,0.51973,2.91764,0.08355,1.09767,0.38917,0.69489,0.53584,2.89309,0.08352,1.09836,0.38608,0.70352,0.54021,2.93084,0.08397,1.00895,0.41594,0.70415,0.55136,2.93392,0.08466,0.99942,0.43993,0.68687,0.5577,2.93216,0.08571,1.00524,0.45406,0.72578,0.58448,2.89351,0.0873
239,1.17762,0.35501,0.75489,0.51189,2.82378,0.08483,1.17028,0.36571,0.75152,0.51978,2.91747,0.08354,1.16575,0.38918,0.7275,0.53592,2.90191,0.08351,1.17386,0.38609,0.71901,0.54031,2.90058,0.08397,1.14752,0.4159,0.7284,0.5514,2.86949,0.08468,1.09286,0.43998,0.71376,0.55774,2.84528,0.08575,1.06724,0.45413,0.72897,0.58447,2.82652,0.08738
240,1.18761,0.35507,0.75974,0.51196,2.83265,0.08484,1.14986,0.36584,0.74469,0.51986,2.87914,0.08354,1.0822,0.38939,0.72294,0.53602,2.86674,0.08352,1.0938,0.38629,0.72007,0.54042,2.87556,0.084,1.03874,0.41613,0.68659,0.55159,2.91256,0.08467,0.98528,0.44025,0.70063,0.55789,2.86664,0.08578,0.98211,0.45439,0.70416,0.58455,2.86614,0.08739
241,1.19722,0.3551,0.75592,0.51202,2.82844,0.08483,1.18323,0.36593,0.7447,0.51993,2.91084,0.08354,1.14971,0.38949,0.73079,0.53609,2.89357,0.08353,1.1609,0.38637,0.72866,0.54047,2.90179,0.084,1.07886,0.41635,0.72601,0.55166,2.85267,0.0847,1.08017,0.44041,0.7176,0.55799,2.87833,0.08579,1.05252,0.4546,0.72768,0.58458,2.85589,0.0874
242,1.18376,0.35518,0.75365,0.51209,2.8437,0.08481,1.16,0.36606,0.71628,0.52013,2.91233,0.08355,1.09575,0.38969,0.69118,0.53632,2.86239,0.08354,1.11544,0.38653,0.6716,0.54076,2.89594,0.08401,1.0355,0.4166,0.65919,0.55198,2.94458,0.08468,1.06319,0.44055,0.63742,0.55835,2.87971,0.08582,1.00075,0.45489,0.64636,0.58486,2.85316,0.08745
243,1.20406,0.35523,0.76127,0.51206,2.82714,0.08483,1.16711,0.36614,0.76963,0.52006,2.91241,0.08354,1.11771,0.38985,0.73791,0.53636,2.88395,0.08355,1.13406,0.38665,0.74229,0.54075,2.88621,0.08402,1.05725,0.41684,0.73752,0.552,2.90288,0.08469,1.04007,0.44072,0.74404,0.5583,2.84051,0.08588,1.00894,0.45515,0.73017,0.58483,2.86875,0.08747
244,1.18704,0.35527,0.75904,0.51207,2.83564,0.08484,1.16932,0.36621,0.74528,0.52012,2.91304,0.08353,1.10602,0.38998,0.71598,0.53648,2.85968,0.08356,1.13759,0.38676,0.7035,0.54088,2.91162,0.08402,1.07943,0.41696,0.6948,0.55213,2.89944,0.08469,1.08637,0.44078,0.67471,0.55848,2.9204,0.08588,1.09497,0.45522,0.69426,0.58489,2.87947,0.08748
245,1.19491,0.35539,0.75712,0.51209,2.82658,0.08486,1.18949,0.36625,0.75866,0.52014,2.9019,0.08353,1.14565,0.39007,0.73245,0.53655,2.86107,0.08357,1.15976,0.38684,0.74275,0.54089,2.91572,0.08402,1.11217,0.41708,0.73444,0.5522,2.82053,0.08476,1.11225,0.44085,0.70745,0.55861,2.85968,0.08594,1.10881,0.45531,0.73346,0.58493,2.87794,0.08748
246,1.20212,0.35543,0.75358,0.51212,2.8221,0.08484,1.15104,0.36637,0.74117,0.52021,2.90382,0.08353,1.09544,0.39025,0.73154,0.53661,2.85812,0.08359,1.1052,0.38701,0.70544,0.54101,2.89675,0.08402,1.05352,0.41727,0.70135,0.55232,2.89642,0.08476,1.04574,0.44102,0.68244,0.55876,2.90943,0.08593,1.00403,0.45555,0.71722,0.58493,2.86635,0.08748
247,1.18522,0.35549,0.75882,0.51217,2.83631,0.08483,1.13342,0.36654,0.73093,0.52033,2.89941,0.08354,1.07707,0.39048,0.71706,0.53674,2.87883,0.0836,1.07788,0.38724,0.71101,0.54113,2.88349,0.08403,1.00721,0.41756,0.691,0.55249,2.88701,0.08477,0.96656,0.44133,0.68342,0.55897,2.90265,0.08593,0.97899,0.45579,0.65561,0.58517,2.87728,0.08751
248,1.20188,0.35549,0.74945,0.51222,2.83461,0.08483,1.1427,0.36669,0.74691,0.52036,2.89335,0.08354,1.08199,0.3907,0.70311,0.53686,2.83785,0.08362,1.08703,0.38744,0.70323,0.54124,2.89541,0.08403,0.99512,0.41791,0.70273,0.55258,2.88572,0.08477,0.98752,0.4416,0.69589,0.55905,2.82987,0.08597,1.01037,0.456,0.70634,0.58516,2.84219,0.08756
249,1.17157,0.35562,0.76138,0.51221,2.82883,0.08483,1.1488,0.3668,0.73428,0.52044,2.89608,0.08353,1.07456,0.3909,0.70105,0.53704,2.85355,0.08363,1.10845,0.38758,0.70962,0.54137,2.88605,0.08404,1.04963,0.41809,0.67433,0.55281,2.87289,0.08478,1.02435,0.44174,0.70314,0.55917,2.84462,0.086,1.00543,0.45614,0.70391,0.5852,2.83691,0.08762
250,1.17731,0.35571,0.74846,0.51227,2.80431,0.08486,1.12536,0.36698,0.72346,0.52058,2.89217,0.08353,1.05931,0.39117,0.69911,0.53722,2.86408,0.08363,1.06699,0.38783,0.69339,0.54155,2.92035,0.08402,0.99378,0.41844,0.67104,0.55302,2.908,0.08477,0.94709,0.44209,0.6561,0.55941,2.90064,0.086,0.91627,0.45654,0.64661,0.58542,2.85389,0.08764
251,1.19498,0.35577,0.75058,0.51232,2.82557,0.08484,1.15971,0.36708,0.73942,0.52068,2.89722,0.08353,1.0997,0.39134,0.70945,0.53737,2.91143,0.0836,1.11528,0.388,0.70174,0.5417,2.91436,0.08401,1.07388,0.41859,0.68136,0.55325,2.89285,0.08478,0.99162,0.44237,0.67128,0.55963,2.90274,0.08601,1.02738,0.45672,0.67858,0.58557,2.87915,0.08763
