batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
1371,1.05561,0.38712,0.69728,0.52535,2.55925,0.09242,0.91518,0.47484,0.62473,0.59738,2.58423,0.09314,0.79847,0.54482,0.5576,0.63868,2.60776,0.09936,0.75008,0.58082,0.54603,0.66229,2.49427,0.10302,0.76267,0.58692,0.54925,0.66231,2.61905,0.10292,0.6683,0.63591,0.53368,0.70526,2.50415,0.11613,0.66737,0.62414,0.5239,0.6896,2.57739,0.11544,0.74157,0.61342,0.52587,0.67936,2.55484,0.12124
1372,1.08775,0.38712,0.69292,0.52535,2.55154,0.09241,0.96304,0.47486,0.67508,0.59738,2.55007,0.09316,0.84887,0.54486,0.63418,0.63867,2.57985,0.09937,0.7312,0.58088,0.61214,0.66229,2.5387,0.10304,0.71443,0.58698,0.62422,0.66232,2.57115,0.10294,0.70099,0.63592,0.55399,0.70528,2.57663,0.11613,0.69563,0.62419,0.56715,0.68961,2.49346,0.11548,0.73888,0.61346,0.58575,0.67937,2.57811,0.12126
1373,1.04472,0.38714,0.7011,0.52533,2.55593,0.0924,0.91332,0.47491,0.73428,0.59732,2.62139,0.09314,0.8337,0.54489,0.68529,0.63864,2.61872,0.09936,0.79936,0.5809,0.6759,0.66227,2.58135,0.10303,0.77672,0.58699,0.6883,0.6623,2.61195,0.10293,0.64715,0.63596,0.62642,0.70527,2.60668,0.11612,0.71772,0.6242,0.67072,0.68959,2.62721,0.11547,0.7574,0.61347,0.63584,0.67936,2.7124,0.12123
1374,1.04934,0.38718,0.69539,0.52534,2.54012,0.09242,0.96228,0.47494,0.65043,0.59735,2.5565,0.09316,0.87674,0.54491,0.57475,0.63867,2.51153,0.09938,0.83506,0.58091,0.50688,0.66234,2.43725,0.10307,0.78675,0.58701,0.51074,0.66235,2.46424,0.10296,0.72474,0.63597,0.44683,0.70533,2.4189,0.11616,0.7537,0.6242,0.50622,0.68963,2.43481,0.11549,0.77336,0.61348,0.53095,0.6794,2.38765,0.12127
1375,1.14246,0.38714,0.70318,0.52532,2.56508,0.0924,0.96992,0.47499,0.71257,0.59732,2.58981,0.09315,0.80027,0.54497,0.63652,0.63867,2.61623,0.09938,0.65045,0.581,0.62735,0.66233,2.62371,0.10306,0.66265,0.58708,0.61946,0.66234,2.61086,0.10295,0.55396,0.63606,0.57845,0.70532,2.53626,0.11617,0.58551,0.62428,0.59396,0.68962,2.60588,0.1155,0.61173,0.61355,0.59214,0.6794,2.62135,0.12126
1376,1.11493,0.38712,0.69435,0.52531,2.55593,0.09239,1.00767,0.47499,0.70404,0.59728,2.56375,0.09315,0.94095,0.54495,0.67271,0.63863,2.57711,0.09938,0.82822,0.58101,0.72359,0.66224,2.59272,0.10306,0.79962,0.5871,0.73719,0.66224,2.56004,0.10296,0.70588,0.63608,0.69977,0.70522,2.55666,0.11619,0.74934,0.62428,0.6892,0.68954,2.56192,0.11551,0.77384,0.61355,0.69571,0.67933,2.53607,0.12128
1377,1.06269,0.38714,0.69256,0.52532,2.55743,0.09239,1.00697,0.47501,0.66439,0.59729,2.55565,0.09316,0.93149,0.54494,0.60388,0.63865,2.61709,0.09938,0.89199,0.581,0.58949,0.66226,2.58478,0.10306,0.84025,0.58709,0.55965,0.66228,2.5879,0.10297,0.82035,0.63605,0.52412,0.70525,2.65505,0.11617,0.839,0.62426,0.54463,0.68956,2.64409,0.11549,0.83539,0.61356,0.5573,0.67936,2.587,0.12127
1378,1.10889,0.38713,0.69002,0.52534,2.55463,0.09241,1.03202,0.47503,0.61625,0.59734,2.55984,0.09317,0.88308,0.54498,0.57848,0.6387,2.50426,0.09941,0.81281,0.58103,0.50411,0.66234,2.51636,0.10309,0.78384,0.58714,0.50766,0.66235,2.44993,0.10301,0.6752,0.6361,0.4713,0.7053,2.36455,0.11624,0.70356,0.6243,0.47812,0.68962,2.36705,0.11554,0.74486,0.61359,0.47362,0.67943,2.38466,0.12132
1379,1.09447,0.38712,0.68598,0.52536,2.50698,0.09242,1.02385,0.47501,0.59064,0.59743,2.5338,0.09319,0.89503,0.54498,0.57982,0.63875,2.57625,0.09941,0.7904,0.58106,0.57322,0.66237,2.55281,0.1031,0.77214,0.58717,0.5668,0.66238,2.54833,0.10302,0.69699,0.63612,0.52459,0.70531,2.60087,0.11624,0.70595,0.62434,0.50569,0.68966,2.55897,0.11555,0.7339,0.61363,0.5075,0.67949,2.6044,0.12131
1380,1.0494,0.38715,0.6933,0.52537,2.54083,0.09242,0.95631,0.47504,0.66824,0.59744,2.53363,0.09322,0.86839,0.54501,0.57318,0.6388,2.51466,0.09943,0.73563,0.58112,0.52941,0.66243,2.50362,0.10312,0.72479,0.58723,0.54324,0.66244,2.5124,0.10304,0.58914,0.63621,0.53411,0.70536,2.36803,0.1163,0.64256,0.62441,0.52671,0.6897,2.42802,0.11559,0.66065,0.61369,0.53331,0.67953,2.41568,0.12135
