model,n_params,d_model,layer,task,pca_dims,lambda,centroid_margin
Llama-3.2-3B,3.2,3072,20,age_bin,128,1.0,0.040419
Llama-3.2-3B,3.2,3072,20,age_bin,256,1.0,0.056213
Llama-3.2-3B,3.2,3072,20,age_bin,512,1.0,0.067536
Llama-3.2-3B,3.2,3072,20,gender,3072,1.0,0.193631
Llama-3.2-3B,3.2,3072,20,gender,32,1.0,0.038124
Llama-3.2-3B,3.2,3072,20,gender,64,1.0,0.051514
Llama-3.2-3B,3.2,3072,20,gender,128,1.0,0.069151
Llama-3.2-3B,3.2,3072,20,gender,256,1.0,0.09306
Llama-3.2-3B,3.2,3072,20,gender,512,1.0,0.108302
Llama-3.2-3B,3.2,3072,24,age_bin,3072,1.0,0.175115
Llama-3.2-3B,3.2,3072,24,age_bin,32,1.0,0.005244
Llama-3.2-3B,3.2,3072,24,age_bin,64,1.0,0.033969
Llama-3.2-3B,3.2,3072,24,age_bin,128,1.0,0.050484
Llama-3.2-3B,3.2,3072,24,age_bin,256,1.0,0.062397
Llama-3.2-3B,3.2,3072,24,age_bin,512,1.0,0.070833
Llama-3.2-3B,3.2,3072,24,gender,3072,1.0,0.198859
Llama-3.2-3B,3.2,3072,24,gender,32,1.0,0.042547
Llama-3.2-3B,3.2,3072,24,gender,64,1.0,0.064108
Llama-3.2-3B,3.2,3072,24,gender,128,1.0,0.078387
Llama-3.2-3B,3.2,3072,24,gender,256,1.0,0.097406
Llama-3.2-3B,3.2,3072,24,gender,512,1.0,0.111389
Llama-3.2-3B,3.2,3072,28,age_bin,3072,1.0,0.181039
Llama-3.2-3B,3.2,3072,28,age_bin,32,1.0,0.00722
Llama-3.2-3B,3.2,3072,28,age_bin,64,1.0,0.035436
Llama-3.2-3B,3.2,3072,28,age_bin,128,1.0,0.053431
Llama-3.2-3B,3.2,3072,28,age_bin,256,1.0,0.066436
Llama-3.2-3B,3.2,3072,28,age_bin,512,1.0,0.075631
Llama-3.2-3B,3.2,3072,28,gender,3072,1.0,0.209014
Llama-3.2-3B,3.2,3072,28,gender,32,1.0,0.05366
Llama-3.2-3B,3.2,3072,28,gender,64,1.0,0.074792
Llama-3.2-3B,3.2,3072,28,gender,128,1.0,0.089472
Llama-3.2-3B,3.2,3072,28,gender,256,1.0,0.101463
Llama-3.2-3B,3.2,3072,28,gender,512,1.0,0.112422
Llama-3.2-3B,3.2,3072,4,age_bin,3072,1.0,0.053587
Llama-3.2-3B,3.2,3072,4,age_bin,32,1.0,-0.035449
Llama-3.2-3B,3.2,3072,4,age_bin,64,1.0,-0.0228
Llama-3.2-3B,3.2,3072,4,age_bin,128,1.0,-0.013594
Llama-3.2-3B,3.2,3072,4,age_bin,256,1.0,-0.004487
Llama-3.2-3B,3.2,3072,4,age_bin,512,1.0,0.004818
Llama-3.2-3B,3.2,3072,4,gender,3072,1.0,0.096067
Llama-3.2-3B,3.2,3072,4,gender,32,1.0,0.013945
Llama-3.2-3B,3.2,3072,4,gender,64,1.0,0.023892
Llama-3.2-3B,3.2,3072,4,gender,128,1.0,0.032132
Llama-3.2-3B,3.2,3072,4,gender,256,1.0,0.040905
Llama-3.2-3B,3.2,3072,4,gender,512,1.0,0.05238
Llama-3.2-3B,3.2,3072,8,age_bin,3072,1.0,0.074276
Llama-3.2-3B,3.2,3072,8,age_bin,32,1.0,-0.02745
Llama-3.2-3B,3.2,3072,8,age_bin,64,1.0,-0.016052
Llama-3.2-3B,3.2,3072,8,age_bin,128,1.0,-0.006108
Llama-3.2-3B,3.2,3072,8,age_bin,256,1.0,0.005361
Llama-3.2-3B,3.2,3072,8,age_bin,512,1.0,0.016818
Llama-3.2-3B,3.2,3072,8,gender,3072,1.0,0.109961
Llama-3.2-3B,3.2,3072,8,gender,32,1.0,0.024809
Llama-3.2-3B,3.2,3072,8,gender,64,1.0,0.031343
Llama-3.2-3B,3.2,3072,8,gender,128,1.0,0.039483
Llama-3.2-3B,3.2,3072,8,gender,256,1.0,0.050118
Llama-3.2-3B,3.2,3072,8,gender,512,1.0,0.06215
Qwen2.5-0.5B,0.5,896,0,age_bin,896,1.0,-0.040786
Qwen2.5-0.5B,0.5,896,0,age_bin,32,1.0,-0.048238
Qwen2.5-0.5B,0.5,896,0,age_bin,64,1.0,-0.047152
Qwen2.5-0.5B,0.5,896,0,age_bin,128,1.0,-0.046145
Qwen2.5-0.5B,0.5,896,0,age_bin,256,1.0,-0.044822
Qwen2.5-0.5B,0.5,896,0,age_bin,512,1.0,-0.043639
Qwen2.5-0.5B,0.5,896,0,gender,896,1.0,0.006838
Qwen2.5-0.5B,0.5,896,0,gender,32,1.0,0.001934
Qwen2.5-0.5B,0.5,896,0,gender,64,1.0,0.00241
Qwen2.5-0.5B,0.5,896,0,gender,128,1.0,0.002912
Qwen2.5-0.5B,0.5,896,0,gender,256,1.0,0.003974
Qwen2.5-0.5B,0.5,896,0,gender,512,1.0,0.004886
Qwen2.5-0.5B,0.5,896,12,age_bin,896,1.0,0.00256
Qwen2.5-0.5B,0.5,896,12,age_bin,32,1.0,-0.033522
Qwen2.5-0.5B,0.5,896,12,age_bin,64,1.0,-0.028604
Qwen2.5-0.5B,0.5,896,12,age_bin,128,1.0,-0.02264
Qwen2.5-0.5B,0.5,896,12,age_bin,256,1.0,-0.01285
Qwen2.5-0.5B,0.5,896,12,age_bin,512,1.0,-0.004361
Qwen2.5-0.5B,0.5,896,12,gender,896,1.0,0.050493
Qwen2.5-0.5B,0.5,896,12,gender,32,1.0,0.017785
Qwen2.5-0.5B,0.5,896,12,gender,64,1.0,0.02365
Qwen2.5-0.5B,0.5,896,12,gender,128,1.0,0.029464
Qwen2.5-0.5B,0.5,896,12,gender,256,1.0,0.038318
Qwen2.5-0.5B,0.5,896,12,gender,512,1.0,0.045489
Qwen2.5-0.5B,0.5,896,16,age_bin,896,1.0,0.03357
Qwen2.5-0.5B,0.5,896,16,age_bin,32,1.0,-0.022897
Qwen2.5-0.5B,0.5,896,16,age_bin,64,1.0,-0.015397
Qwen2.5-0.5B,0.5,896,16,age_bin,128,1.0,-0.006926
Qwen2.5-0.5B,0.5,896,16,age_bin,256,1.0,0.004687
Qwen2.5-0.5B,0.5,896,16,age_bin,512,1.0,0.015477
Qwen2.5-0.5B,0.5,896,16,gender,896,1.0,0.074023
Qwen2.5-0.5B,0.5,896,16,gender,32,1.0,0.031724
Qwen2.5-0.5B,0.5,896,16,gender,64,1.0,0.035929
Qwen2.5-0.5B,0.5,896,16,gender,128,1.0,0.042811
Qwen2.5-0.5B,0.5,896,16,gender,256,1.0,0.050449
Qwen2.5-0.5B,0.5,896,16,gender,512,1.0,0.057973
Qwen2.5-0.5B,0.5,896,20,age_bin,896,1.0,0.04677
Qwen2.5-0.5B,0.5,896,20,age_bin,32,1.0,-0.012751
