batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
38,1.37151,0.32642,0.88923,0.49659,3.08884,0.08354,1.39595,0.34091,0.86299,0.50878,3.11102,0.08377,1.37732,0.34663,0.90415,0.50626,3.15623,0.08187,1.41276,0.3427,0.8584,0.51204,3.15544,0.08468,1.45419,0.3412,0.92127,0.51725,3.20652,0.08441,1.32437,0.37367,0.87743,0.52579,3.16956,0.08359,1.29301,0.37115,0.89505,0.5233,3.11197,0.08504,1.28092,0.37662,0.79867,0.53913,3.17402,0.08281
39,1.36669,0.32671,0.88452,0.49661,3.08782,0.08354,1.35748,0.34168,0.87067,0.50893,3.11394,0.08373,1.3669,0.34742,0.91051,0.50652,3.15422,0.08196,1.35414,0.34352,0.88465,0.51204,3.13119,0.08471,1.36301,0.34218,0.90111,0.51755,3.18829,0.08429,1.29426,0.37438,0.8551,0.52631,3.15384,0.08362,1.28198,0.37218,0.91254,0.52334,3.14213,0.08538,1.26107,0.37796,0.85203,0.53919,3.19434,0.08293
40,1.36131,0.32707,0.87419,0.49692,3.08664,0.08355,1.42451,0.34174,0.89194,0.50884,3.07954,0.08379,1.46664,0.34715,0.94786,0.50633,3.16064,0.08191,1.42255,0.34357,0.84239,0.51273,3.13692,0.08475,1.43268,0.34231,0.87505,0.51803,3.17433,0.08433,1.42001,0.37402,0.87603,0.52648,3.14946,0.08377,1.40993,0.37192,0.87568,0.52387,3.13019,0.08547,1.41972,0.37771,0.81286,0.53976,3.16411,0.08303
41,1.36427,0.32732,0.88809,0.49703,3.09703,0.08355,1.38688,0.34206,0.8648,0.50908,3.1135,0.08372,1.42272,0.34714,0.92121,0.5064,3.15547,0.08197,1.3953,0.34402,0.8422,0.51353,3.12635,0.08484,1.39097,0.34289,0.86325,0.51882,3.20238,0.08429,1.35588,0.37403,0.85346,0.52713,3.1167,0.0839,1.34504,0.37226,0.85229,0.52491,3.16211,0.08555,1.28846,0.37866,0.7855,0.54072,3.2238,0.08305
42,1.36597,0.32764,0.87859,0.49705,3.07395,0.08356,1.39594,0.34229,0.85689,0.50933,3.10149,0.08365,1.40543,0.34745,0.9038,0.5064,3.14444,0.08204,1.37394,0.34445,0.83954,0.51414,3.15439,0.08478,1.37843,0.34343,0.89379,0.51894,3.21844,0.08423,1.30548,0.37452,0.85969,0.52747,3.19623,0.08386,1.33791,0.37267,0.86123,0.52558,3.09593,0.08574,1.30447,0.37936,0.83089,0.54099,3.14548,0.08294
43,1.34822,0.32793,0.87964,0.49702,3.0719,0.08349,1.36423,0.34275,0.85524,0.50954,3.13741,0.08355,1.38382,0.34791,0.88231,0.50674,3.14264,0.08204,1.35505,0.34501,0.86844,0.51436,3.16093,0.08471,1.41094,0.34379,0.90693,0.51898,3.19899,0.08415,1.26534,0.3753,0.87572,0.52764,3.19854,0.08377,1.27007,0.37355,0.89051,0.52566,3.19705,0.08568,1.21568,0.38077,0.84698,0.54133,3.16129,0.08286
44,1.3434,0.32837,0.87678,0.49715,3.0708,0.08351,1.38084,0.34309,0.87579,0.50967,3.08794,0.08367,1.40103,0.34813,0.89852,0.50689,3.17299,0.08198,1.4071,0.34516,0.89152,0.51441,3.14064,0.08465,1.39515,0.34416,0.90702,0.51905,3.14592,0.08422,1.29958,0.37575,0.91325,0.52758,3.16181,0.08377,1.28218,0.37425,0.93727,0.52566,3.16242,0.08567,1.2576,0.38183,0.8485,0.54151,3.17685,0.08292
45,1.343,0.32886,0.8783,0.49731,3.0654,0.08344,1.34019,0.34381,0.82763,0.51023,3.04018,0.08383,1.37418,0.34846,0.87583,0.50731,3.12442,0.082,1.35618,0.34566,0.85887,0.51472,3.1134,0.08463,1.35379,0.34487,0.89241,0.51909,3.1711,0.08421,1.26748,0.37645,0.88032,0.52758,3.13801,0.08383,1.31262,0.37479,0.86337,0.52612,3.1863,0.08559,1.25112,0.38295,0.82504,0.54181,3.12841,0.08283
46,1.33919,0.32917,0.86364,0.49737,3.04258,0.08344,1.35031,0.34426,0.86589,0.51034,3.15301,0.08369,1.3324,0.34917,0.89585,0.50757,3.10987,0.08211,1.3043,0.34637,0.83053,0.51529,3.21574,0.08454,1.34492,0.3455,0.87332,0.51933,3.16245,0.08417,1.22849,0.37736,0.84293,0.52799,3.20178,0.08374,1.23871,0.37578,0.84684,0.52667,3.19969,0.08546,1.21468,0.384,0.81136,0.54222,3.13919,0.0828
47,1.34632,0.32939,0.85394,0.49751,3.03731,0.08344,1.36579,0.34462,0.83197,0.51075,3.08948,0.08364,1.40528,0.34908,0.87167,0.50794,3.13696,0.08203,1.35375,0.34696,0.83658,0.51578,3.12038,0.0846,1.38356,0.3459,0.84647,0.52001,3.15959,0.08427,1.29151,0.37774,0.86214,0.5281,3.14415,0.0838,1.33729,0.37593,0.86757,0.52705,3.1653,0.08539,1.28391,0.38466,0.80071,0.54282,3.10573,0.08296
48,1.34166,0.32957,0.86473,0.49759,3.06867,0.08349,1.35143,0.34498,0.85017,0.51098,3.1051,0.08351,1.39698,0.34921,0.88682,0.50802,3.11404,0.08198,1.3535,0.34739,0.85041,0.51602,3.12734,0.08466,1.37556,0.34624,0.87588,0.52022,3.16418,0.08429,1.29276,0.37806,0.88931,0.52798,3.20437,0.08372,1.27436,0.3766,0.8882,0.52715,3.17981,0.08525,1.26786,0.38536,0.76308,0.54379,3.09824,0.08304
49,1.33769,0.32984,0.85887,0.49781,3.07779,0.08342,1.39198,0.34502,0.87781,0.51095,3.12368,0.08341,1.41905,0.34909,0.84318,0.50853,3.08461,0.08213,1.36428,0.34764,0.81626,0.51678,3.11924,0.08461,1.36747,0.34668,0.8611,0.52053,3.16546,0.08427,1.2925,0.37829,0.81962,0.52855,3.1786,0.08367,1.30392,0.37707,0.84014,0.52774,3.21,0.08515,1.31392,0.38574,0.81405,0.54404,3.16509,0.08294
50,1.33759,0.33034,0.85415,0.49803,3.05628,0.08333,1.34476,0.34559,0.83767,0.51114,3.08091,0.0834,1.35861,0.3495,0.84823,0.50915,3.13167,0.08204,1.33414,0.3482,0.82011,0.51742,3.07259,0.08474,1.37639,0.347,0.84601,0.52106,3.16876,0.08423,1.27964,0.37883,0.83507,0.52908,3.10999,0.08372,1.3001,0.37741,0.87129,0.52786,3.10507,0.08522,1.28622,0.38622,0.78897,0.54467,3.13695,0.08294
51,1.33577,0.33056,0.86366,0.49816,3.03424,0.08338,1.32632,0.34619,0.85552,0.51135,3.09905,0.08336,1.38086,0.34964,0.89057,0.50925,3.13281,0.08204,1.33619,0.34864,0.81878,0.51789,3.11278,0.08473,1.34708,0.34752,0.85988,0.52136,3.233,0.08414,1.25486,0.37942,0.83122,0.52954,3.13827,0.08375,1.26884,0.37817,0.876,0.528,3.11468,0.08525,1.24985,0.38704,0.76715,0.5455,3.17713,0.08286
52,1.32394,0.33085,0.85711,0.49829,3.04503,0.08333,1.35976,0.34641,0.84058,0.51151,3.07311,0.08332,1.38911,0.34984,0.838,0.5099,3.10772,0.08204,1.316,0.34928,0.82483,0.51843,3.14831,0.08461,1.31581,0.34827,0.84672,0.52186,3.133,0.08413,1.23727,0.38021,0.82606,0.53016,3.11093,0.08392,1.29674,0.37853,0.84829,0.52836,3.12642,0.08522,1.17602,0.38848,0.76384,0.54636,3.10162,0.08294
53,1.33486,0.33105,0.85143,0.4985,3.03478,0.08332,1.32779,0.34689,0.82496,0.51192,3.05466,0.08339,1.3661,0.35008,0.85283,0.51029,3.09588,0.08208,1.34731,0.34963,0.82119,0.51885,3.05472,0.08474,1.3186,0.34895,0.84976,0.52215,3.13175,0.08414,1.22393,0.38107,0.79995,0.53095,3.1107,0.08403,1.25926,0.37925,0.83988,0.52891,3.12636,0.08521,1.20529,0.38961,0.77148,0.54715,3.06194,0.08314
