batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign,loss_L28_age_bin,acc_L28_age_bin,loss_L28_gender,acc_L28_gender,loss_L28_star_sign,acc_L28_star_sign
468,1.13896,0.36777,0.73,0.51739,2.73194,0.08657,1.03731,0.41078,0.71111,0.55265,2.69869,0.08513,0.9909,0.43634,0.69704,0.5742,2.68948,0.08604,0.97634,0.44882,0.6873,0.58198,2.6821,0.08565,0.98699,0.44569,0.69982,0.57662,2.67463,0.08623,0.92379,0.48322,0.66493,0.5967,2.71617,0.08753,0.90865,0.51089,0.65016,0.61594,2.74427,0.09059,0.90812,0.51682,0.64665,0.62343,2.75513,0.09233
469,1.14897,0.36777,0.7252,0.51739,2.71802,0.08662,1.08152,0.41083,0.69946,0.55269,2.69825,0.08514,1.01774,0.43644,0.66804,0.57428,2.69574,0.08605,1.02267,0.44888,0.66044,0.58207,2.70905,0.08565,1.04655,0.44573,0.68411,0.57667,2.67318,0.08624,0.98724,0.48329,0.66151,0.59678,2.69903,0.08755,0.97032,0.51096,0.633,0.61604,2.75286,0.09059,0.97426,0.51685,0.63163,0.62354,2.71632,0.09236
470,1.10988,0.36785,0.71318,0.51744,2.73413,0.08661,1.03574,0.41093,0.65143,0.55288,2.71273,0.08514,0.97312,0.43658,0.60956,0.57452,2.70073,0.08605,0.95486,0.44902,0.58372,0.58234,2.68843,0.08567,0.97182,0.44583,0.59329,0.57693,2.70421,0.08626,0.90098,0.48344,0.57056,0.59704,2.74655,0.08755,0.87082,0.51111,0.53642,0.61631,2.76304,0.09059,0.86852,0.517,0.54073,0.62378,2.77669,0.09237
471,1.13634,0.36786,0.72442,0.51745,2.73535,0.08661,1.0605,0.411,0.68483,0.55295,2.71485,0.08513,0.97878,0.43677,0.66426,0.5746,2.72213,0.08604,0.93033,0.44926,0.66373,0.58242,2.70216,0.08568,0.9559,0.44603,0.66556,0.57701,2.69131,0.08627,0.88773,0.48367,0.6298,0.59715,2.72565,0.08756,0.87782,0.51133,0.61295,0.61641,2.70345,0.09063,0.8776,0.5172,0.59954,0.6239,2.74388,0.0924
472,1.11235,0.36791,0.71573,0.51746,2.71239,0.08666,1.03573,0.41105,0.69006,0.55298,2.68564,0.08515,0.98826,0.43686,0.68299,0.57462,2.67857,0.08607,0.95,0.44936,0.66525,0.58246,2.67405,0.0857,0.97885,0.4461,0.67482,0.57704,2.6612,0.0863,0.89651,0.48378,0.65409,0.59719,2.70915,0.08757,0.84884,0.51146,0.65282,0.61643,2.71796,0.09066,0.87083,0.51729,0.64624,0.62392,2.65872,0.09246
473,1.1181,0.36797,0.7146,0.5175,2.72843,0.08671,1.05327,0.41113,0.64929,0.55314,2.69715,0.08516,1.0152,0.43693,0.61897,0.57482,2.68763,0.08608,0.98883,0.44945,0.60935,0.58265,2.70748,0.08571,1.01079,0.44616,0.61719,0.57721,2.69169,0.08631,0.95687,0.48387,0.59443,0.59738,2.70478,0.08758,0.93965,0.51151,0.57587,0.61661,2.71345,0.09069,0.93653,0.51737,0.55924,0.62411,2.74833,0.09249
474,1.09133,0.36808,0.72844,0.51747,2.72594,0.08673,1.02282,0.41122,0.70438,0.55315,2.69936,0.08517,0.99177,0.43703,0.66702,0.5749,2.71564,0.08609,0.99714,0.44952,0.66868,0.58273,2.71818,0.08571,0.98922,0.44623,0.66487,0.5773,2.70081,0.08632,0.92469,0.48398,0.65383,0.59746,2.71664,0.0876,0.90219,0.5116,0.63638,0.61669,2.71609,0.09074,0.90817,0.51745,0.62813,0.6242,2.74886,0.09252
475,1.15471,0.36804,0.7195,0.51751,2.7453,0.08671,1.03517,0.41131,0.66313,0.55327,2.7096,0.08517,0.96439,0.4372,0.62354,0.57507,2.71799,0.08609,0.95187,0.44967,0.60935,0.5829,2.71934,0.08571,0.97153,0.44636,0.62305,0.57745,2.71567,0.08633,0.87247,0.48417,0.58795,0.59764,2.72061,0.0876,0.84498,0.51178,0.57573,0.61685,2.7148,0.09076,0.82922,0.51763,0.57137,0.62434,2.73338,0.09255
476,1.13796,0.36806,0.72402,0.51752,2.72689,0.08673,1.08666,0.41132,0.6795,0.55335,2.71873,0.08516,1.01458,0.4373,0.6558,0.57518,2.7117,0.08609,1.02089,0.44972,0.65858,0.58299,2.68926,0.08571,1.0261,0.4464,0.66435,0.57754,2.69489,0.08633,0.95974,0.48423,0.62221,0.59776,2.7465,0.0876,0.94992,0.51181,0.6089,0.61696,2.76515,0.09076,0.942,0.51768,0.59433,0.62445,2.71969,0.09257
477,1.12378,0.3681,0.70763,0.51757,2.71757,0.08676,1.04095,0.41138,0.63167,0.55354,2.70348,0.08516,1.00609,0.43736,0.58433,0.57544,2.69131,0.0861,0.9647,0.4498,0.57784,0.58323,2.69432,0.08573,0.9778,0.44648,0.58191,0.57778,2.6926,0.08634,0.92171,0.4843,0.56343,0.59799,2.71027,0.08761,0.90349,0.51185,0.52516,0.61721,2.76447,0.09076,0.91417,0.51772,0.50501,0.6247,2.72819,0.0926
