batch,loss_L0_age_bin,acc_L0_age_bin,loss_L0_gender,acc_L0_gender,loss_L0_star_sign,acc_L0_star_sign,loss_L4_age_bin,acc_L4_age_bin,loss_L4_gender,acc_L4_gender,loss_L4_star_sign,acc_L4_star_sign,loss_L8_age_bin,acc_L8_age_bin,loss_L8_gender,acc_L8_gender,loss_L8_star_sign,acc_L8_star_sign,loss_L12_age_bin,acc_L12_age_bin,loss_L12_gender,acc_L12_gender,loss_L12_star_sign,acc_L12_star_sign,loss_L16_age_bin,acc_L16_age_bin,loss_L16_gender,acc_L16_gender,loss_L16_star_sign,acc_L16_star_sign,loss_L20_age_bin,acc_L20_age_bin,loss_L20_gender,acc_L20_gender,loss_L20_star_sign,acc_L20_star_sign,loss_L24_age_bin,acc_L24_age_bin,loss_L24_gender,acc_L24_gender,loss_L24_star_sign,acc_L24_star_sign
452,1.14019,0.36343,0.72213,0.51355,2.74737,0.08679,1.09453,0.37769,0.69012,0.52659,2.73308,0.08425,1.07042,0.39851,0.66807,0.54409,2.72833,0.08417,1.07804,0.39445,0.65963,0.5458,2.76788,0.0847,1.03542,0.41909,0.63561,0.55716,2.7649,0.08608,1.02724,0.44365,0.63115,0.56812,2.74899,0.08707,1.01767,0.45338,0.62466,0.58545,2.76724,0.08945
453,1.13287,0.36347,0.72805,0.51354,2.72618,0.0868,1.08178,0.37779,0.7213,0.52658,2.76396,0.08425,1.04929,0.39862,0.70607,0.54411,2.74533,0.08417,1.05802,0.39455,0.71722,0.54579,2.75162,0.08471,0.99466,0.41925,0.70633,0.55718,2.7894,0.08607,0.96065,0.44381,0.70181,0.56813,2.78046,0.08706,0.92916,0.45357,0.69258,0.58547,2.76036,0.08945
454,1.14845,0.36348,0.72063,0.51355,2.72298,0.08682,1.1239,0.37782,0.71155,0.52661,2.76346,0.08426,1.08213,0.39866,0.68246,0.54417,2.75383,0.08417,1.06684,0.39464,0.69738,0.54582,2.7471,0.08473,1.01137,0.41937,0.68395,0.55721,2.69335,0.0861,0.99528,0.44391,0.6601,0.56821,2.75656,0.08706,1.03879,0.45361,0.67661,0.58549,2.72813,0.08946
455,1.12849,0.36355,0.724,0.51357,2.72839,0.08682,1.06787,0.37793,0.70554,0.52666,2.74392,0.08427,1.03897,0.39877,0.68768,0.54423,2.75435,0.08417,1.02627,0.39478,0.68177,0.54589,2.72976,0.08474,0.99687,0.41948,0.67984,0.55727,2.75715,0.0861,0.97147,0.44402,0.66154,0.5683,2.76024,0.08706,0.96854,0.45371,0.67353,0.58555,2.72089,0.08948
456,1.13106,0.36361,0.71794,0.51359,2.73698,0.08682,1.08071,0.37803,0.69813,0.52673,2.75652,0.08428,1.04118,0.39889,0.67188,0.54433,2.77432,0.08416,1.04902,0.39488,0.66493,0.546,2.76352,0.08473,1.00607,0.41961,0.6447,0.55741,2.76407,0.08611,0.98766,0.4441,0.64174,0.56843,2.78696,0.08706,0.97498,0.4538,0.64937,0.58564,2.69799,0.08954
457,1.1459,0.36364,0.71504,0.51361,2.72112,0.08682,1.11686,0.37806,0.70262,0.52677,2.76819,0.08428,1.08028,0.39895,0.6712,0.54442,2.74546,0.08416,1.08072,0.39492,0.67991,0.54606,2.75902,0.08473,1.0559,0.41966,0.65628,0.55751,2.75692,0.0861,1.01434,0.44416,0.65401,0.5685,2.78535,0.08704,1.03791,0.45384,0.66098,0.58567,2.72521,0.08954
458,1.16739,0.36363,0.72375,0.51362,2.72175,0.08685,1.10903,0.3781,0.7098,0.5268,2.75253,0.08428,1.06107,0.39903,0.7047,0.54444,2.75158,0.08415,1.05037,0.39503,0.68452,0.54613,2.74723,0.08474,1.01421,0.41978,0.69035,0.55756,2.74545,0.08611,0.96709,0.44433,0.70412,0.56852,2.72669,0.08706,0.96289,0.454,0.72,0.58564,2.75336,0.08956
459,1.13354,0.36364,0.72313,0.51362,2.73337,0.08685,1.06724,0.37824,0.71828,0.52679,2.75771,0.08428,1.02794,0.3992,0.71114,0.54443,2.76016,0.08415,1.05736,0.39516,0.71171,0.54612,2.79067,0.08473,0.98121,0.41998,0.69277,0.55758,2.72326,0.08613,0.94568,0.44455,0.69173,0.56852,2.74206,0.08708,0.92605,0.45423,0.69864,0.58559,2.7283,0.08957
460,1.15585,0.36361,0.72119,0.51363,2.72067,0.08685,1.11061,0.37828,0.68908,0.5269,2.76218,0.08429,1.05806,0.39929,0.6668,0.54455,2.74277,0.08415,1.07911,0.39521,0.6597,0.54626,2.76324,0.08473,1.03354,0.42007,0.63822,0.55776,2.73628,0.08614,1.01738,0.44462,0.64228,0.56867,2.75756,0.08708,1.00181,0.4543,0.6457,0.58571,2.73078,0.08957
461,1.1488,0.36365,0.71455,0.51368,2.72447,0.08686,1.11951,0.37833,0.69465,0.52698,2.76297,0.08428,1.1003,0.39935,0.68178,0.54463,2.75342,0.08415,1.10806,0.39527,0.68077,0.54633,2.74182,0.08473,1.10283,0.42011,0.66576,0.55784,2.71871,0.08615,1.07557,0.44467,0.67255,0.56873,2.73061,0.0871,1.09696,0.45432,0.66973,0.58574,2.7366,0.08958
